17:47:11.112 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=5, name=chicken, price=3.0, isPromotional=true)
17:47:11.183 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=6, name=pizza, price=3.5, isPromotional=false)
17:47:11.240 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=7, name=pudding, price=4.0, isPromotional=true)
17:47:11.293 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=8, name=popcorn, price=4.5, isPromotional=false)
17:47:11.345 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=9, name=pie, price=5.0, isPromotional=true)
17:47:11.347 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - number DiscountCard is valid
17:47:11.347 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - name DiscountCard is valid
17:47:11.750 [main] INFO  e.c.check.service.OutputCheckService - Print check to console...
12:21:25.235 [main] INFO  edu.clevertec.check.CheckRunner - Input args: 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 mastercard-11111
12:21:25.243 [main] INFO  e.c.c.validation.impl.DataValidation - String args is Found
12:21:25.681 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=1, name=milk, price=1.0, isPromotional=true)
12:21:25.773 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=2, name=brot, price=1.5, isPromotional=false)
12:21:25.852 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=3, name=icecream, price=2.0, isPromotional=true)
12:21:25.924 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=4, name=chocolate, price=2.5, isPromotional=false)
12:21:25.998 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=5, name=chicken, price=3.0, isPromotional=true)
12:21:26.053 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=6, name=pizza, price=3.5, isPromotional=false)
12:21:26.110 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=7, name=pudding, price=4.0, isPromotional=true)
12:21:26.166 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=8, name=popcorn, price=4.5, isPromotional=false)
12:21:26.219 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=9, name=pie, price=5.0, isPromotional=true)
12:21:26.221 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - number DiscountCard is valid
12:21:26.221 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - name DiscountCard is valid
12:21:26.661 [main] INFO  e.c.check.service.OutputCheckService - Print check to console...
12:21:51.010 [main] INFO  edu.clevertec.check.CheckRunner - Input args: 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 mastercard-11111
12:21:51.019 [main] INFO  e.c.c.validation.impl.DataValidation - String args is Found
12:21:51.499 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=1, name=milk, price=1.0, isPromotional=true)
12:21:51.623 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=2, name=brot, price=1.5, isPromotional=false)
12:21:51.724 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=3, name=icecream, price=2.0, isPromotional=true)
12:21:51.801 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=4, name=chocolate, price=2.5, isPromotional=false)
12:21:51.869 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=5, name=chicken, price=3.0, isPromotional=true)
12:21:51.927 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=6, name=pizza, price=3.5, isPromotional=false)
12:21:51.978 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=7, name=pudding, price=4.0, isPromotional=true)
12:21:52.025 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=8, name=popcorn, price=4.5, isPromotional=false)
12:21:52.072 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=9, name=pie, price=5.0, isPromotional=true)
12:21:52.074 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - number DiscountCard is valid
12:21:52.075 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - name DiscountCard is valid
12:21:52.572 [main] INFO  e.c.check.service.OutputCheckService - Print check to console...
13:13:00.610 [main] INFO  edu.clevertec.check.CheckRunner - Input args: 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 mastercard-11111
13:13:00.616 [main] INFO  e.c.c.validation.impl.DataValidation - String args is Found
13:13:01.085 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=1, name=milk, price=1.0, isPromotional=true)
13:13:01.178 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=2, name=brot, price=1.5, isPromotional=false)
13:13:01.257 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=3, name=icecream, price=2.0, isPromotional=true)
13:13:01.327 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=4, name=chocolate, price=2.5, isPromotional=false)
13:13:01.395 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=5, name=chicken, price=3.0, isPromotional=true)
13:13:01.445 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=6, name=pizza, price=3.5, isPromotional=false)
13:13:01.492 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=7, name=pudding, price=4.0, isPromotional=true)
13:13:01.538 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=8, name=popcorn, price=4.5, isPromotional=false)
13:13:01.585 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=9, name=pie, price=5.0, isPromotional=true)
13:13:01.586 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - number DiscountCard is valid
13:13:01.587 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - name DiscountCard is valid
13:13:01.645 [main] INFO  e.c.c.p.c.CashReceiptPdfFilePrinterImpl - Do: PdfDocument backgroundPdfDocument = new PdfDocument(new PdfReader(file));
13:13:01.728 [main] INFO  e.c.c.p.c.CashReceiptPdfFilePrinterImpl - Pos: PdfDocument backgroundPdfDocument = new PdfDocument(new PdfReader(file));
13:13:01.974 [main] INFO  e.c.check.service.OutputCheckService - Print check to console...
13:13:31.281 [main] INFO  edu.clevertec.check.CheckRunner - Input args: 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 mastercard-11111
13:13:31.288 [main] INFO  e.c.c.validation.impl.DataValidation - String args is Found
13:13:31.771 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=1, name=milk, price=1.0, isPromotional=true)
13:13:31.855 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=2, name=brot, price=1.5, isPromotional=false)
13:13:31.938 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=3, name=icecream, price=2.0, isPromotional=true)
13:13:32.012 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=4, name=chocolate, price=2.5, isPromotional=false)
13:13:32.082 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=5, name=chicken, price=3.0, isPromotional=true)
13:13:32.142 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=6, name=pizza, price=3.5, isPromotional=false)
13:13:32.192 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=7, name=pudding, price=4.0, isPromotional=true)
13:13:32.238 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=8, name=popcorn, price=4.5, isPromotional=false)
13:13:32.295 [main] INFO  e.c.c.r.impl.ProductRepoImpl - The entity was found in the database: Product(id=9, name=pie, price=5.0, isPromotional=true)
13:13:32.296 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - number DiscountCard is valid
13:13:32.297 [main] INFO  e.c.c.v.i.DiscountCardValidationImpl - name DiscountCard is valid
13:13:32.354 [main] INFO  e.c.c.p.c.CashReceiptPdfFilePrinterImpl - Do: PdfDocument backgroundPdfDocument = new PdfDocument(new PdfReader(file));
13:13:32.438 [main] INFO  e.c.c.p.c.CashReceiptPdfFilePrinterImpl - Pos: PdfDocument backgroundPdfDocument = new PdfDocument(new PdfReader(file));
